id,x,y,d,t,s,r,p,c
8472,41.389161,-72.855222,14260320,07:02,K,3.0,1,0
63867,41.320694,-72.866405,14353632,21:42,K,3.0,1,0
76772,41.551793,-73.007705,14243904,22:41,K,3.0,1,0
84738,41.35102,-73.03096,14422752,16:41,K,3.0,1,0
85070,41.538992,-72.810274,14433984,14:58,K,3.0,1,0
91972,41.474292,-72.906531,14444352,18:56,K,3.0,1,0
95333,41.287897,-72.683933,14465088,17:30,K,3.0,1,0
95696,41.324283,-72.838577,14468544,16:53,K,3.0,0,0
109178,41.533824,-72.793668,14477184,18:00,K,4.0,1,0
145412,41.277317,-72.861189,14245632,04:04,K,2.0,1,0
155834,41.336423,-73.04891,14400288,16:55,K,4.0,1,0
155988,41.583959,-73.035956,14433984,20:40,K,4.0,1,0
162295,41.555108,-73.014862,14250816,18:10,K,4.0,1,0
162450,41.585249,-73.042373,14416704,06:15,K,4.0,0,1
167330,41.300738,-72.940903,14636160,23:30,K,4.0,1,0
170754,41.202974,-73.099985,14572224,02:00,K,2.0,1,0
182753,41.308925,-72.896593,14573088,00:06,K,4.0,1,0
197952,41.562027,-73.038173,14530752,10:35,K,4.0,1,0
199200,41.421641,-72.972309,14510016,20:30,K,3.0,1,0
215430,41.308667,-73.073371,14666400,23:59,K,3.0,1,0
215776,41.542574,-72.807983,14757984,20:33,K,4.0,1,0
216398,41.281499,-72.874699,14726016,16:15,K,4.0,0,1
220987,41.270076,-72.997441,14764032,21:47,K,2.0,1,0
225240,41.293019,-72.943868,14776128,21:54,K,3.0,1,0
250806,41.351633,-72.931066,14814144,02:05,K,3.0,1,0
252502,41.304901,-72.934223,14846112,15:12,K,3.0,1,0
254441,41.550926,-73.057602,14643936,02:03,K,3.0,1,0
263334,41.27773925,-72.59670327,14841792,14:43,K,4.0,1,0
269199,41.265123,-72.952306,14862528,07:33,K,4.0,1,0
279123,41.301703,-72.950911,14910912,12:45,K,3.0,0,1
284668,41.456638,-72.824832,14923872,06:34,K,4.0,1,0
288405,41.54953,-73.02209,14818464,20:15,K,4.0,1,0
288734,41.320741,-72.865697,14807232,20:39,K,3.0,1,0
292012,41.570362,-73.033862,14852160,19:11,K,4.0,1,0
