https://www.ctcrash.uconn.edu/QueryTool2.action?qid=165957
"CrashID","VehicleID","Trailer ID","Trailer Information Same As Carrier","Trailer Information Same As Power Unit","Trailer Information Same As Other Trailer","Trailer Owner City","Trailer Owner State","Trailer Owner Country","Trailer Owner Postal Code","Trailer License Plate Issuing State Code","Trailer License Plate Was Expired","Trailer License Plate Was Missing","Trailer Vehicle Identification Number"
"4124","1","1","false","false","false","","","","","","","",""
"4124","1","2","false","false","false","","","","","","","",""
"8555","1","1","false","false","false","","","","","","","",""
"8555","1","2","false","false","false","","","","","","","",""
"39680","1","1","false","false","false","","","","","","","",""
"39680","1","2","false","false","false","","","","","","","",""
"56020","1","1","false","false","false","","","","","","","",""
"56020","1","2","false","false","false","","","","","","","",""
"63867","1","1","false","false","false","","","","","","","",""
"63867","1","2","false","false","false","","","","","","","",""
"67336","1","1","false","false","false","","","","","","","",""
"67336","1","2","false","false","false","","","","","","","",""
"81212","1","1","false","false","false","","","","","","","",""
"81212","1","2","false","false","false","","","","","","","",""
"81212","2","1","false","false","false","","","","","","","",""
"81212","2","2","false","false","false","","","","","","","",""
"81212","3","1","false","false","false","","","","","","","",""
"81212","3","2","false","false","false","","","","","","","",""
"95696","1","1","false","false","false","","","","","","","",""
"95696","1","2","false","false","false","","","","","","","",""
"103005","1","1","false","false","false","","","","","","","",""
"103005","1","2","false","false","false","","","","","","","",""
"109049","1","1","false","false","false","","","","","","","",""
"109049","1","2","false","false","false","","","","","","","",""
"111771","1","1","false","false","false","","","","","","","",""
"111771","1","2","false","false","false","","","","","","","",""
"111771","2","1","false","false","false","","","","","","","",""
"111771","2","2","false","false","false","","","","","","","",""
"113052","1","1","false","false","false","","","","","","","",""
"113052","1","2","false","false","false","","","","","","","",""
"132539","1","1","false","false","false","","","","","","","",""
"132539","1","2","false","false","false","","","","","","","",""
"143221","1","1","false","false","false","","","","","","","",""
"143221","1","2","false","false","false","","","","","","","",""
"170382","1","1","false","false","false","","","","","","","",""
"170382","1","2","false","false","false","","","","","","","",""
"173212","1","1","false","false","false","","","","","","","",""
"173212","1","2","false","false","false","","","","","","","",""
"216398","1","1","false","false","false","","","","","","","",""
"216398","1","2","false","false","false","","","","","","","",""
"218210","1","1","false","false","false","","","","","","","",""
"218210","1","2","false","false","false","","","","","","","",""
"250806","1","1","false","false","false","","","","","","","",""
"250806","1","2","false","false","false","","","","","","","",""
"253014","1","1","false","false","false","","","","","","","",""
"253014","1","2","false","false","false","","","","","","","",""
"255738","1","1","","","","","","","","","","",""
"255738","1","2","","","","","","","","","","",""
"260114","1","1","false","false","false","","","","","","","",""
"260114","1","2","false","false","false","","","","","","","",""
"266640","1","1","false","false","false","","","","","","","",""
